StoreID,ProductID,ProductName,CurrentStock,MinimumThreshold,MaximumCapacity,Category
Store_1001,Prod_001,Great Value Organic Whole Milk,8,20,150,Grocery
Store_1001,Prod_002,Purified Bottled Water 40-Pack,0,50,400,Grocery
Store_1001,Prod_003,Equate Ibuprofen 200mg,44,15,100,Pharmacy
Store_1001,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1001,Prod_005,onn. 50-inch 4K UHD Smart TV,10,5,30,Electronics
Store_1001,Prod_006,Equate Allergy Relief Cetirizine,3,10,80,Pharmacy
Store_1001,Prod_007,Great Value Chocolate Chip Cookies,11,30,200,Grocery
Store_1001,Prod_008,HP 15.6-inch Laptop 8GB RAM,23,3,25,Electronics
Store_1001,Prod_009,Mainstays Bedding Set Queen,3,8,50,Home Goods
Store_1001,Prod_010,Athletic Works Men Running Shoes,2,12,60,Apparel
Store_1002,Prod_001,Great Value Organic Whole Milk,50,20,150,Grocery
Store_1002,Prod_002,Purified Bottled Water 40-Pack,21,50,400,Grocery
Store_1002,Prod_003,Equate Ibuprofen 200mg,37,15,100,Pharmacy
Store_1002,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1002,Prod_005,onn. 50-inch 4K UHD Smart TV,3,5,30,Electronics
Store_1002,Prod_006,Equate Allergy Relief Cetirizine,0,10,80,Pharmacy
Store_1002,Prod_007,Great Value Chocolate Chip Cookies,72,30,200,Grocery
Store_1002,Prod_008,HP 15.6-inch Laptop 8GB RAM,2,3,25,Electronics
Store_1002,Prod_009,Mainstays Bedding Set Queen,23,8,50,Home Goods
Store_1002,Prod_010,Athletic Works Men Running Shoes,24,12,60,Apparel
Store_1003,Prod_001,Great Value Organic Whole Milk,84,20,150,Grocery
Store_1003,Prod_002,Purified Bottled Water 40-Pack,279,50,400,Grocery
Store_1003,Prod_003,Equate Ibuprofen 200mg,36,15,100,Pharmacy
Store_1003,Prod_004,Mainstays Metal Outdoor Patio Set,4,2,20,Home Goods
Store_1003,Prod_005,onn. 50-inch 4K UHD Smart TV,2,5,30,Electronics
Store_1003,Prod_006,Equate Allergy Relief Cetirizine,75,10,80,Pharmacy
Store_1003,Prod_007,Great Value Chocolate Chip Cookies,39,30,200,Grocery
Store_1003,Prod_008,HP 15.6-inch Laptop 8GB RAM,2,3,25,Electronics
Store_1003,Prod_009,Mainstays Bedding Set Queen,23,8,50,Home Goods
Store_1003,Prod_010,Athletic Works Men Running Shoes,24,12,60,Apparel
Store_1004,Prod_001,Great Value Organic Whole Milk,67,20,150,Grocery
Store_1004,Prod_002,Purified Bottled Water 40-Pack,17,50,400,Grocery
Store_1004,Prod_003,Equate Ibuprofen 200mg,55,15,100,Pharmacy
Store_1004,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1004,Prod_005,onn. 50-inch 4K UHD Smart TV,19,5,30,Electronics
Store_1004,Prod_006,Equate Allergy Relief Cetirizine,52,10,80,Pharmacy
Store_1004,Prod_007,Great Value Chocolate Chip Cookies,123,30,200,Grocery
Store_1004,Prod_008,HP 15.6-inch Laptop 8GB RAM,21,3,25,Electronics
Store_1004,Prod_009,Mainstays Bedding Set Queen,18,8,50,Home Goods
Store_1004,Prod_010,Athletic Works Men Running Shoes,55,12,60,Apparel
Store_1005,Prod_001,Great Value Organic Whole Milk,5,20,150,Grocery
Store_1005,Prod_002,Purified Bottled Water 40-Pack,240,50,400,Grocery
Store_1005,Prod_003,Equate Ibuprofen 200mg,31,15,100,Pharmacy
Store_1005,Prod_004,Mainstays Metal Outdoor Patio Set,7,2,20,Home Goods
Store_1005,Prod_005,onn. 50-inch 4K UHD Smart TV,14,5,30,Electronics
Store_1005,Prod_006,Equate Allergy Relief Cetirizine,55,10,80,Pharmacy
Store_1005,Prod_007,Great Value Chocolate Chip Cookies,15,30,200,Grocery
Store_1005,Prod_008,HP 15.6-inch Laptop 8GB RAM,1,3,25,Electronics
Store_1005,Prod_009,Mainstays Bedding Set Queen,47,8,50,Home Goods
Store_1005,Prod_010,Athletic Works Men Running Shoes,20,12,60,Apparel
Store_1006,Prod_001,Great Value Organic Whole Milk,11,20,150,Grocery
Store_1006,Prod_002,Purified Bottled Water 40-Pack,8,50,400,Grocery
Store_1006,Prod_003,Equate Ibuprofen 200mg,48,15,100,Pharmacy
Store_1006,Prod_004,Mainstays Metal Outdoor Patio Set,12,2,20,Home Goods
Store_1006,Prod_005,onn. 50-inch 4K UHD Smart TV,14,5,30,Electronics
Store_1006,Prod_006,Equate Allergy Relief Cetirizine,72,10,80,Pharmacy
Store_1006,Prod_007,Great Value Chocolate Chip Cookies,64,30,200,Grocery
Store_1006,Prod_008,HP 15.6-inch Laptop 8GB RAM,1,3,25,Electronics
Store_1006,Prod_009,Mainstays Bedding Set Queen,32,8,50,Home Goods
Store_1006,Prod_010,Athletic Works Men Running Shoes,24,12,60,Apparel
Store_1007,Prod_001,Great Value Organic Whole Milk,55,20,150,Grocery
Store_1007,Prod_002,Purified Bottled Water 40-Pack,151,50,400,Grocery
Store_1007,Prod_003,Equate Ibuprofen 200mg,82,15,100,Pharmacy
Store_1007,Prod_004,Mainstays Metal Outdoor Patio Set,12,2,20,Home Goods
Store_1007,Prod_005,onn. 50-inch 4K UHD Smart TV,2,5,30,Electronics
Store_1007,Prod_006,Equate Allergy Relief Cetirizine,19,10,80,Pharmacy
Store_1007,Prod_007,Great Value Chocolate Chip Cookies,120,30,200,Grocery
Store_1007,Prod_008,HP 15.6-inch Laptop 8GB RAM,1,3,25,Electronics
Store_1007,Prod_009,Mainstays Bedding Set Queen,7,8,50,Home Goods
Store_1007,Prod_010,Athletic Works Men Running Shoes,41,12,60,Apparel
Store_1008,Prod_001,Great Value Organic Whole Milk,43,20,150,Grocery
Store_1008,Prod_002,Purified Bottled Water 40-Pack,193,50,400,Grocery
Store_1008,Prod_003,Equate Ibuprofen 200mg,51,15,100,Pharmacy
Store_1008,Prod_004,Mainstays Metal Outdoor Patio Set,18,2,20,Home Goods
Store_1008,Prod_005,onn. 50-inch 4K UHD Smart TV,11,5,30,Electronics
Store_1008,Prod_006,Equate Allergy Relief Cetirizine,73,10,80,Pharmacy
Store_1008,Prod_007,Great Value Chocolate Chip Cookies,165,30,200,Grocery
Store_1008,Prod_008,HP 15.6-inch Laptop 8GB RAM,15,3,25,Electronics
Store_1008,Prod_009,Mainstays Bedding Set Queen,6,8,50,Home Goods
Store_1008,Prod_010,Athletic Works Men Running Shoes,57,12,60,Apparel
Store_1009,Prod_001,Great Value Organic Whole Milk,7,20,150,Grocery
Store_1009,Prod_002,Purified Bottled Water 40-Pack,320,50,400,Grocery
Store_1009,Prod_003,Equate Ibuprofen 200mg,14,15,100,Pharmacy
Store_1009,Prod_004,Mainstays Metal Outdoor Patio Set,1,2,20,Home Goods
Store_1009,Prod_005,onn. 50-inch 4K UHD Smart TV,8,5,30,Electronics
Store_1009,Prod_006,Equate Allergy Relief Cetirizine,8,10,80,Pharmacy
Store_1009,Prod_007,Great Value Chocolate Chip Cookies,92,30,200,Grocery
Store_1009,Prod_008,HP 15.6-inch Laptop 8GB RAM,1,3,25,Electronics
Store_1009,Prod_009,Mainstays Bedding Set Queen,32,8,50,Home Goods
Store_1009,Prod_010,Athletic Works Men Running Shoes,53,12,60,Apparel
Store_1010,Prod_001,Great Value Organic Whole Milk,9,20,150,Grocery
Store_1010,Prod_002,Purified Bottled Water 40-Pack,112,50,400,Grocery
Store_1010,Prod_003,Equate Ibuprofen 200mg,99,15,100,Pharmacy
